name,ratio,kernel_size,window_range,true_positive,true_negative,false_positive,false_negative,positive,negative,predict_positive,predict_negative,coffecients1
Decision,0.4,5,"(1, 15)",88,164,16,44,132,180,104,208,
Random,0.4,5,"(1, 15)",88,164,16,44,132,180,104,208,
Logistic,0.4,7,"(1, 15)",91,165,15,41,132,180,106,206,"{'LAP1': -2.248859580628299, 'MIS3': -1.8599429147073163, 'WAV1': 0.004337085477957671, 'GRA7': -0.23487493798448084, 'STA3': 0.03759719735962188, 'DCT3': 1.3968402164914901}"
Decision,0.4,7,"(1, 15)",91,165,15,41,132,180,106,206,
Random,0.4,7,"(1, 15)",91,165,15,41,132,180,106,206,
Logistic,0.4,11,"(1, 15)",94,167,13,38,132,180,107,205,"{'LAP1': -0.23375099935712446, 'MIS3': -0.8814610676804125, 'WAV1': 0.004279901211827187, 'GRA7': -0.2098837410504083, 'STA3': 0.3928282630737756, 'DCT3': 1.041644937253604}"
Decision,0.4,11,"(1, 15)",94,167,13,38,132,180,107,205,
Random,0.4,11,"(1, 15)",94,167,13,38,132,180,107,205,
Logistic,0.4,51,"(1, 15)",88,138,42,44,132,180,130,182,"{'LAP1': -0.0513268105553485, 'MIS3': -0.018525732348497432, 'WAV1': 0.0017948177373878261, 'GRA7': 0.055354018656767257, 'STA3': -0.18487844361132466, 'DCT3': 0.1303954237667645}"
Decision,0.4,51,"(1, 15)",88,138,42,44,132,180,130,182,
Random,0.4,51,"(1, 15)",88,138,42,44,132,180,130,182,
Logistic,0.4,101,"(1, 15)",99,162,18,33,132,180,117,195,"{'LAP1': -0.046122369618300546, 'MIS3': -0.008884433202861782, 'WAV1': 0.005656153085461528, 'GRA7': 0.011455706948072915, 'STA3': 0.0017548274554859851, 'DCT3': 0.0003590119833439359}"
Decision,0.4,101,"(1, 15)",99,162,18,33,132,180,117,195,
Random,0.4,101,"(1, 15)",99,162,18,33,132,180,117,195,
Logistic,0.4,201,"(1, 15)",89,163,17,43,132,180,106,206,"{'LAP1': -0.0076253079947147286, 'MIS3': -0.001543426290346341, 'WAV1': 0.00425090366971761, 'GRA7': 0.0018784851516774226, 'STA3': 0.00046195493659417915, 'DCT3': 0.0007941191261233255}"
Decision,0.4,201,"(1, 15)",89,163,17,43,132,180,106,206,
Random,0.4,201,"(1, 15)",89,163,17,43,132,180,106,206,
Logistic,0.45,3,"(1, 15)",96,165,14,47,143,179,110,212,"{'LAP1': -2.6202624193113575, 'MIS3': -6.429420821437202, 'WAV1': 0.003110080501259618, 'GRA7': -2.667159751532338, 'STA3': -0.03234891996510493, 'DCT3': 2.05426628287271}"
Decision,0.45,3,"(1, 15)",96,165,14,47,143,179,110,212,
Random,0.45,3,"(1, 15)",96,165,14,47,143,179,110,212,
Logistic,0.45,5,"(1, 15)",98,162,17,45,143,179,115,207,"{'LAP1': -5.455589977339001, 'MIS3': -3.4807350768167318, 'WAV1': 0.00429902643095985, 'GRA7': -0.6026198383035217, 'STA3': -0.11880146500554399, 'DCT3': 1.955600077394671}"
Decision,0.45,5,"(1, 15)",98,162,17,45,143,179,115,207,
Random,0.45,5,"(1, 15)",98,162,17,45,143,179,115,207,
Logistic,0.45,7,"(1, 15)",104,164,15,39,143,179,119,203,"{'LAP1': -1.06118373511221, 'MIS3': -2.120794080605034, 'WAV1': 0.004182354589185434, 'GRA7': -1.0932121131865422, 'STA3': -0.005210543104098552, 'DCT3': 1.9748184902420634}"
Decision,0.45,7,"(1, 15)",104,164,15,39,143,179,119,203,
Random,0.45,7,"(1, 15)",104,164,15,39,143,179,119,203,
Logistic,0.45,11,"(1, 15)",110,163,16,33,143,179,126,196,"{'LAP1': -3.474214233044487, 'MIS3': -0.8682585488134948, 'WAV1': 0.005837434086603655, 'GRA7': 0.8585436301994713, 'STA3': 0.8428594174408465, 'DCT3': 0.6809596769520257}"
Decision,0.45,11,"(1, 15)",110,163,16,33,143,179,126,196,
Random,0.45,11,"(1, 15)",110,163,16,33,143,179,126,196,
Logistic,0.45,51,"(1, 15)",113,157,22,30,143,179,135,187,"{'LAP1': -0.13811335785196005, 'MIS3': -0.03234576308077584, 'WAV1': 0.004762016957037531, 'GRA7': 0.05160159339654055, 'STA3': -0.1263011249080092, 'DCT3': 0.2095687433821102}"
Decision,0.45,51,"(1, 15)",113,157,22,30,143,179,135,187,
Random,0.45,51,"(1, 15)",113,157,22,30,143,179,135,187,
Logistic,0.45,101,"(1, 15)",107,160,19,36,143,179,126,196,"{'LAP1': -0.049124489676193574, 'MIS3': -0.00900190537708847, 'WAV1': 0.005798183629863128, 'GRA7': 0.012114625892728105, 'STA3': 0.0032683186387268883, 'DCT3': -0.017968044799828477}"
Decision,0.45,101,"(1, 15)",107,160,19,36,143,179,126,196,
Random,0.45,101,"(1, 15)",107,160,19,36,143,179,126,196,
Logistic,0.45,201,"(1, 15)",109,159,20,34,143,179,129,193,"{'LAP1': -0.008009040167050206, 'MIS3': -0.0016461114020891318, 'WAV1': 0.004361035313993895, 'GRA7': 0.0021280118639479483, 'STA3': 0.00015069533194745366, 'DCT3': 0.0009403429870091129}"
Decision,0.45,201,"(1, 15)",109,159,20,34,143,179,129,193,
Random,0.45,201,"(1, 15)",109,159,20,34,143,179,129,193,
Logistic,0.5,3,"(1, 15)",128,143,20,46,174,163,148,189,"{'LAP1': -2.6168316497938404, 'MIS3': -6.586371859884421, 'WAV1': 0.0032861172760955022, 'GRA7': -2.7363759664687173, 'STA3': -0.032306563708198476, 'DCT3': 1.6171238352827517}"
Decision,0.5,3,"(1, 15)",128,143,20,46,174,163,148,189,
Random,0.5,3,"(1, 15)",128,143,20,46,174,163,148,189,
Logistic,0.5,5,"(1, 15)",129,143,20,45,174,163,149,188,"{'LAP1': -2.6193017851124205, 'MIS3': -3.4363699395847074, 'WAV1': 0.0041173615653742075, 'GRA7': -1.8497349484177117, 'STA3': -0.06518680696122912, 'DCT3': 1.8298789182629516}"
Decision,0.5,5,"(1, 15)",129,143,20,45,174,163,149,188,
Random,0.5,5,"(1, 15)",129,143,20,45,174,163,149,188,
Logistic,0.5,7,"(1, 15)",132,145,18,42,174,163,150,187,"{'LAP1': -3.3737915027765224, 'MIS3': -1.8712303566184296, 'WAV1': 0.004679237033124746, 'GRA7': 0.380858107067865, 'STA3': 0.017475377433310346, 'DCT3': 1.2104864366641188}"
Decision,0.5,7,"(1, 15)",132,145,18,42,174,163,150,187,
Random,0.5,7,"(1, 15)",132,145,18,42,174,163,150,187,
Logistic,0.5,11,"(1, 15)",139,130,33,35,174,163,172,165,"{'LAP1': -0.11971818612047416, 'MIS3': -1.2293425023576632, 'WAV1': 0.0044214112366378735, 'GRA7': -0.042858891031731176, 'STA3': 0.12867998448379486, 'DCT3': 1.5577974574202265}"
Decision,0.5,11,"(1, 15)",139,130,33,35,174,163,172,165,
Random,0.5,11,"(1, 15)",139,130,33,35,174,163,172,165,
Logistic,0.5,51,"(1, 15)",135,147,16,39,174,163,151,186,"{'LAP1': -0.2212297644621056, 'MIS3': -0.048301779403147165, 'WAV1': 0.006944268342688132, 'GRA7': 0.05316361529332954, 'STA3': 0.09504873443856217, 'DCT3': -0.04465296727672598}"
Decision,0.5,51,"(1, 15)",135,147,16,39,174,163,151,186,
Random,0.5,51,"(1, 15)",135,147,16,39,174,163,151,186,
Logistic,0.5,101,"(1, 15)",131,147,16,43,174,163,147,190,"{'LAP1': -0.052363629243166, 'MIS3': -0.010272600209146828, 'WAV1': 0.006300973934937647, 'GRA7': 0.012821318989057815, 'STA3': 0.0064215484093865065, 'DCT3': -0.01823840089155714}"
Decision,0.5,101,"(1, 15)",131,147,16,43,174,163,147,190,
Random,0.5,101,"(1, 15)",131,147,16,43,174,163,147,190,
Logistic,0.5,201,"(1, 15)",132,144,19,42,174,163,151,186,"{'LAP1': -0.008414263865934229, 'MIS3': -0.0017943032506567663, 'WAV1': 0.004639006741034473, 'GRA7': 0.0022554886545517352, 'STA3': 0.00023672085558691268, 'DCT3': 0.0017877752629811303}"
Decision,0.5,201,"(1, 15)",132,144,19,42,174,163,151,186,
Random,0.5,201,"(1, 15)",132,144,19,42,174,163,151,186,
